DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
1/11/18;01701;Brescia - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01801;Pavia - Università degli studi;01 ;Mense;0;0
1/11/18;01801;Pavia - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01801;Pavia - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01801;Pavia - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01801;Pavia - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01801;Pavia - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01801;Pavia - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;01802;Pavia - Istituto universitario di studi superiori;01 ;Mense;0;0
1/11/18;01802;Pavia - Istituto universitario di studi superiori;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;01802;Pavia - Istituto universitario di studi superiori;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;01802;Pavia - Istituto universitario di studi superiori;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;01802;Pavia - Istituto universitario di studi superiori;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;01802;Pavia - Istituto universitario di studi superiori;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;01802;Pavia - Istituto universitario di studi superiori;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;02101;Bolzano - Libera Università;01 ;Mense;0;0
1/11/18;02101;Bolzano - Libera Università;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;02101;Bolzano - Libera Università;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;02101;Bolzano - Libera Università;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;02101;Bolzano - Libera Università;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;02101;Bolzano - Libera Università;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;02101;Bolzano - Libera Università;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;02201;Trento - Università degli studi;01 ;Mense;0;0
1/11/18;02201;Trento - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;02201;Trento - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;02201;Trento - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;02201;Trento - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;02201;Trento - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;02201;Trento - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;02301;Verona - Università degli studi;01 ;Mense;0;0
1/11/18;02301;Verona - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;02301;Verona - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;02301;Verona - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;02301;Verona - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;02301;Verona - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;02301;Verona - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;02701;"Venezia - Università degli studi ""Cà Foscari""";01 ;Mense;0;0
1/11/18;02701;"Venezia - Università degli studi ""Cà Foscari""";02 ;Residenze direttamente gestite dall'istituto;1;9
1/11/18;02701;"Venezia - Università degli studi ""Cà Foscari""";02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;02701;"Venezia - Università degli studi ""Cà Foscari""";02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;02701;"Venezia - Università degli studi ""Cà Foscari""";03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;10;180
1/11/18;02701;"Venezia - Università degli studi ""Cà Foscari""";03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;02701;"Venezia - Università degli studi ""Cà Foscari""";03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;02702;Venezia - Università IUAV;01 ;Mense;0;0
1/11/18;02702;Venezia - Università IUAV;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;02702;Venezia - Università IUAV;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;02702;Venezia - Università IUAV;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;02702;Venezia - Università IUAV;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;02702;Venezia - Università IUAV;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;02702;Venezia - Università IUAV;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;02801;Padova - Università degli studi;01 ;Mense;0;0
1/11/18;02801;Padova - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;34;409
1/11/18;02801;Padova - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;233
1/11/18;02801;Padova - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;02801;Padova - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;2;65
1/11/18;02801;Padova - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;65
1/11/18;02801;Padova - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;03001;Udine - Università degli studi;01 ;Mense;0;0
1/11/18;03001;Udine - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;1;84
1/11/18;03001;Udine - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;77
1/11/18;03001;Udine - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
1/11/18;03001;Udine - Università degli studi;03 ;Residenze in strutture convenzionate o affidate in gestione a terzi;0;0
1/11/18;03001;Udine - Università degli studi;03a;Residenze in strutture convenzionate o affidate in gestione a terzi - di cui posti assegnati a studenti dell'ateneo (in convenzione o a terzi);;0
1/11/18;03001;Udine - Università degli studi;03b;Residenze in strutture convenzionate o affidate in gestione a terzi- di cui posti assegnati a studenti in mobilità (in convenzione o a terzi);;0
1/11/18;03201;Trieste - Università degli studi;01 ;Mense;0;0
1/11/18;03201;Trieste - Università degli studi;02 ;Residenze direttamente gestite dall'istituto;0;0
1/11/18;03201;Trieste - Università degli studi;02a;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti dell'ateneo;;0
1/11/18;03201;Trieste - Università degli studi;02b;Residenze direttamente gestite dall'istituto - di cui posti assegnati a studenti in mobilità;;0
